BLOOM,CRF
grama esmeralda,grama esmeralda para manutenção de praças
SONORIZAÇÃO,SONORIZAÇÃO PARA AS FESTIVIDADES DA SEMANA SANTA 2018
SERVIÇOS DE HOTELARIA PARA ATENDER ÀS NECESSIDADES DESTA MUNICIPALIDADE,
reajuste contratual,
lavagem de veículos,prestação de serviços para lavagem de veículos das secretarias municipais
VEÍCULOS ZERO KM- CAMINHÃO BASCULANTE – CAMINHÃO TANQUE PIPA – CAMINHÃO COLETOR E COMPACTADOR DE LIXO- RECURSO BDMG,CAMINHÃO TANQUE PIPA – CAMINHÃO COLETOR E COMPACTADOR DE LIXO- RECURSO BDMG – MAQ – NOVA
Empresa Especializada para Realização de Capacitação dos Conselheiros Tutelares Titular do Município,Realização de Capacitação dos Conselheiros Tutelares Titular do Município
Kits pedagógicos da coleção sempre viva para educação infantil,
ônibus Rodoviário,locação de veículo tipo ônibus Rodoviário
fornecimento de produtos de padaria diversos,
seguro contra terceiros para veículos da frota mecanizada da Secretaria Municipal de Saúde,seguro contra terceiros
rastreamento em veículos e prestação de serviço de monitoramento e rastreamento veicular para controle da frota de veículos da Prefeitura de Nepomuceno,aparelho de rastreamento em veículos e prestação de serviço de monitoramento e rastreamento veicular para controle da frota de veículos da Prefeitura de Nepomuceno
FREEZER HORIZONTAL,01 FREEZER HORIZONTAL
kits escolares,kits escolares para atendimento á secretaria municipal de educação
LARVICIDA BIOLOGICO PARA CONTROLE DA DENGUE,LARVICIDA BIOLOGICO
09 plantões de cinco horas e 03 plantões de nove horas neste mês de setembro,
Registro de Preços para aquisição fracionada de combustíveis líquidos e óleos S500 para atender as necessidades da Administração Pública do Município de São Tomé das Letras,fracionada de combustíveis líquidos e óleos S500
Prestação de serviços,
exames de diagnósticos de imagem em radiologia e eletroencefalograma,Contratação de empresa para realização de exames de diagnósticos de imagem em radiologia e eletroencefalograma
MATA BURROS,MATA BURROS PARA INSTALAÇÃO EM VÁRIOS BAIRROS DO MUNICÍPIO
execução de obras de reforma e ampliação da Unidade Básica de Saúde – UBS do Distrito de Extração,reforma e ampliação da Unidade Básica de Saúde – UBS do Distrito de Extração
ILUMINAÇÃO EM PRAÇAS E CAMPOS DE FUTEBOL,SERVIÇOS DE ENGENHARIA ELÉTRICA PARA EXECUÇÃO DE SERVIÇOS DE ILUMINAÇÃO EM PRAÇAS E CAMPOS DE FUTEBOL
climatizador evaporativo,
prestação de serviços de,prestação de serviços de consultoria e elaboração de trabalhos técnicos
Partes,
Grupo Motor Gerador de Energia,Prestação de Serviços de Locação de Grupo Motor Gerador de Energia
prestação de serviços jurídicos contínuos e diários de advocacia pública,Sociedade de Advogados para prestação de serviços jurídicos contínuos e diários de advocacia pública
equipamento médico e outros bens permanentes de uso geral,Fornecimento de equipamento médico e outros bens permanentes de uso geral
RESFRIADOR PARACAMINHÃO E ÓLEOS LUBRIFICANTES,
Contratação de Serviços de Operador de Motosserra,Operador de Motosserra
maestro e regente para a banda municipal de João Pinheiro,
serviços de assessoria em comunicação,assessoria em comunicação
pregomin pepti,
CRECHE MUNICIPAL DE ALVORADA DE MINAS,
alimentação e hospedagem para este município,
prestação de serviços pelo SENAC MINAS ao MUNICÍPIO DE LAGOA DA PRATA,
FORNECIMENTO DE EQUIPAMENTOS REVOGO O ITEM N.º 86 – CÓDIGO 5190 – LANTERNA PEQUENA – do procedimento licitatório sob a modalidade Pregão n.º,
execução de instalação de projeto de sistema preventivo de combate à pânico e incêndio para a edificação do Mercado Velho,
ETE – Estação de Tratamento de Esgoto,
caminhão com compactador de lixo,
ECAD- Direitos Autorais,
Artes Marciais,Artes Marciais para ministrar aulas de Karatê
Registro de Preços para aquisição de dietas enterais e fórmula infantil para atender demanda da Secretaria Municipal de Saúde,dietas enterais e fórmula infantil
prestação de serviços de transporte rodoviário intermunicipal para manutenção das atividades da,transporte rodoviário intermunicipal
CONTRATACAO DE SERVICOS DE MARCENARIA EM ATENDIMENTO AS SECRETARIAS MUNICIPAIS,SERVICOS DE MARCENARIA
Exaustores c/ instalação inclusa,
dois postes de concreto de onze metros de altura com estrutura resistente para o Parque de Exposições do Município,
Cortadora de Piso,
SERVIÇOS DE PUBLICIDADE E PROPAGANDA,CONTRATAÇÃO DE AGÊNCIA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE PUBLICIDADE E PROPAGANDA PARA AS CAMPANHAS
Serviços de Publicidade e Propaganda,
pincel e tinta para escrita em quadro branco,pincel e tinta para escrita em quadro branco para a Secretaria Municipal de Educação
Coleta de material de mama por punção,
